PairdID,Ecosystem,SourceUUTMethodName,SourceUUTStart,SourceUUTEnd,TargetMethodName,TargetMethodStart,TargetMethodEnd,SourceMatchedPercent,SourceUnMatchedPercent,TargetMatchedPercent,TargetUnMatchedPercent,SourceMatchingGroup,Rating1,Rating2,Rating,Rater1CloneType,Rater2CloneType,Rater1AcceptStatus,Rater2AcceptStatus,,Rating,,"14, 21, 55, 59, 64, 68, 94, 96, 97, 122, 134, 137, 142, 152, 163, 164, 174, 177, 178, 211, 222, 230, 238, 249, 273, 275, 284, 285, 311, 314, 315, 322"
65,mopub/mopub-android-sdk,getBannerVisibilityTrackerListener,132,139,getCreativeExperienceSettings,1017,1024,92.31,7.69,46.15,53.85,90-100,0,0,0,4,0,Reject,,,,,
66,mopub/mopub-android-sdk,onRewardedVideoCompleted,854,866,onRewardedAdCompleted,938,949,85.45,14.55,100,0,80-89,0,0,0,2,0,Accept,,,,,
67,mopub/mopub-android-sdk,onAdClicked,406,422,onCustomEventInterstitialClicked,394,407,79.07,20.93,100,0,70-79,4,0,2,3,0,Accept,,,,,
68,mopub/mopub-android-sdk,VastVideoConfig,83,102,VastVideoConfiguration,46,59,67.97,32.03,100,0,60-69,0,0,0,3,3,Accept,Accept,,1,,
69,mopub/mopub-android-sdk,onPostExecute,148,165,onPostExecute,52,62,56.25,43.75,96.43,3.57,50-59,0,0,0,3,0,Accept,,,,,
70,mopub/mopub-android-sdk,getBestCompanionAd,545,613,getAllCompanionAds,534,576,49.48,50.52,87.7,12.3,40-49,0,0,0,3,0,Accept,,,,,
71,mopub/mopub-android-sdk,onResume,159,193,onResume,107,115,27.03,72.97,80.95,19.05,20-29,4,0,2,3,0,Accept,,,,,
72,mopub/mopub-android-sdk,setAdContentView,544,561,loadConsentDialog,93,128,16.07,83.93,70.3,29.7,10-19,4,0,2,3,0,Accept,,,,,
73,doanduyhai/Achilles,setId,44,48,setId,40,44,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
74,doanduyhai/Achilles,getId,70,74,getId,62,66,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
75,xetorthio/johm,setJedisPool,19,24,prefix,58,66,100,0,100,0,100,1,0,0.5,4,0,Reject,,,,,
76,xetorthio/johm,setJedisPool,19,24,keys,26,30,100,0,100,0,100,0,0,0,4,0,Reject,,,,,
77,xetorthio/johm,get,49,81,exists,43,51,98.78,1.22,0,100,90-100,0,0,0,4,0,Reject,,,,,
78,xetorthio/johm,setPool,21,26,setJedisPool,19,24,86.36,13.64,100,0,80-89,4,0,2,2,0,Accept,,,,,
79,jenkinsci/docker-plugin,executeOnce,87,95,now,51,59,100,0,100,0,100,4,0,2,2,0,Accept,,,,,
80,jenkinsci/docker-plugin,executeOnce,87,95,now,51,59,100,0,100,0,100,4,0,2,2,0,Accept,,,,,
81,jenkinsci/docker-plugin,withCredentials,86,108,addCredentials,177,195,95.05,4.95,92.52,7.48,90-100,0,0,0,3,0,Accept,,,,,
82,jenkinsci/docker-plugin,InjectSSHKey,321,326,setUser,64,69,88.24,11.76,100,0,80-89,4,0,2,1,0,Accept,,,,,
83,jenkinsci/docker-plugin,withCredentials,82,111,addCredentials,177,195,76.74,23.26,91.59,8.41,70-79,0,0,0,3,0,Accept,,,,,
84,jenkinsci/slack-plugin,doTestConnection,617,649,doTestConnectionGlobal,873,909,97.15,2.85,1.03,98.97,90-100,0,0,0,3,0,Accept,,,,,
85,zeromq/jeromq,size,225,230,size,23,29,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
86,zeromq/jeromq,close,475,483,close,376,381,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
87,zeromq/jeromq,connect,416,592,connectInternal,486,674,90.92,9.08,87.38,12.63,90-100,0,0,0,3,0,Accept,,,,,
88,maxmind/GeoIP2-java,getDomain,31,35,getDomain,335,340,100,0,83.33,16.67,100,4,0,2,1,0,Accept,,,,,
89,maxmind/GeoIP2-java,getDomain,31,35,getDomain,335,340,100,0,83.33,16.67,100,4,0,2,1,0,Accept,,,,,
90,maxmind/GeoIP2-java,city,225,231,city,230,236,96,4,96,4,90-100,0,0,0,2,0,Accept,,,,,
91,crawljax/crawljax,getDocumentNoBalance,95,103,getDocumentNoBalance,183,191,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
92,crawljax/crawljax,getPort,44,49,getPort,43,48,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
93,crawljax/crawljax,getDocument,166,174,asDocument,74,86,98.18,1.82,76.06,23.94,90-100,4,0,2,3,0,Accept,,,,,
94,crawljax/crawljax,crawl,132,142,crawl,146,157,82.61,17.39,76,24,80-89,0,0,0,4,3,Accept,Accept,,1,,
95,crawljax/crawljax,asDocument,74,86,getDocument,166,174,76.06,23.94,98.18,1.82,70-79,4,0,2,3,0,Accept,,,,,
96,crawljax/crawljax,isClone,62,74,update,171,198,67.86,32.14,36.89,63.11,60-69,0,0,0,4,3,Reject,Accept,,1,,
97,jenkinsci/mercurial-plugin,touchAndCommit,77,91,touchAndCommit,66,80,100,0,100,0,100,4,4,4,1,2,Accept,Accept,,1,,
98,jenkinsci/mercurial-plugin,touchAndCommit,77,91,touchAndCommit,66,80,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
99,jenkinsci/mercurial-plugin,buildAndCheck,91,110,buildAndCheck,76,96,97.71,2.29,97.71,2.29,90-100,0,0,0,3,0,Accept,,,,,
100,johncarl81/transfuse,openBinary,45,56,openBinary,37,48,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
101,johncarl81/transfuse,openBinary,45,56,openBinary,37,48,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
102,bguerout/jongo,as,53,57,as,79,83,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
103,bguerout/jongo,as,53,57,as,79,83,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
104,bguerout/jongo,orderBy,64,69,with,111,116,91.67,8.33,0,100,90-100,0,0,0,4,0,Accept,,,,,
105,dbfit/dbfit,SnowflakeEnvironment,14,19,supportsOuputOnInsert,28,32,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
106,dbfit/dbfit,SnowflakeEnvironment,14,19,SybaseEnvironment,23,28,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
107,bugsnag/bugsnag-android,getAutoCaptureSessions,470,474,getMetaData,373,378,100,0,100,0,100,0,0,0,4,0,Reject,,,,,
108,bugsnag/bugsnag-android,getAutoCaptureSessions,470,474,shouldAutoCaptureSessions,352,356,100,0,100,0,100,4,0,2,2,0,Accept,,,,,
109,bugsnag/bugsnag-android,getId,50,55,getUserId,104,109,90,10,77.78,22.22,90-100,0,0,0,3,0,Accept,,,,,
110,addthis/hydra,runtimeShutdownHook,2784,2814,close,2561,2606,92.16,7.84,59.52,40.48,90-100,4,0,2,3,0,Accept,,,,,
111,addthis/hydra,filterValue,55,93,filterValue,78,117,48.69,51.31,63.52,36.48,40-49,0,0,0,3,0,Accept,,,,,
112,thelinmichael/spotify-web-api-java,getHref,34,38,getHref,16,20,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
113,thelinmichael/spotify-web-api-java,getHref,16,20,getHref,88,92,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
114,alexruiz/fest-assert-2.x,shouldMatch,37,41,shouldMatch,36,40,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
115,alexruiz/fest-assert-2.x,shouldMatch,37,41,shouldMatch,36,40,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
116,alexruiz/fest-assert-2.x,equals,127,145,equals,197,207,93.85,6.15,100,0,90-100,2,0,1,2,0,Accept,,,,,
117,52North/WPS,ExecuteRequestV200,81,106,ExecuteRequest,108,133,100,0,100,0,100,4,0,2,2,0,Accept,,,,,
118,52North/WPS,ExecuteRequestV200,81,106,ExecuteRequest,108,133,100,0,100,0,100,4,0,2,2,0,Accept,,,,,
119,52North/WPS,FlatFileDatabase,124,157,PostgresDatabase,108,136,93.94,6.06,67.09,32.91,90-100,0,0,0,3,0,Accept,,,,,
120,52North/WPS,call,171,290,call,636,747,86.83,13.17,88.55,11.45,80-89,1,0,0.5,3,0,Accept,,,,,
121,52North/WPS,registerScriptFile,248,355,registerScript,228,299,60.9,39.1,85.44,14.56,60-69,0,0,0,3,0,Accept,,,,,
122,52North/WPS,ExecuteRequestV100,103,128,initializeDescription,53,83,39.33,60.67,77.02,22.98,30-39,0,0,0,3,3,Accept,Accept,,1,,
123,timols/java-gitlab-api,getDescription,58,62,getDescription,79,83,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
124,timols/java-gitlab-api,getId,101,105,getId,43,47,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
125,JFrogDev/jenkins-artifactory-plugin,getUrl,55,59,getUrl,108,112,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
126,JFrogDev/jenkins-artifactory-plugin,getUrl,55,59,getUrl,108,112,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
127,searchbox-io/Jest,getRestMethodName,23,28,getRestMethodName,40,45,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
128,searchbox-io/Jest,getRestMethodName,23,28,getRestMethodName,33,38,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
129,RichardWarburton/java-8-lambdas-exercises,countLowercaseLetters,11,17,countLowercaseLetters,12,20,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
