ecosystem,size
flapdoodle-oss/de.flapdoodle.embed.mongo,7
jboss/metadata,7
HaraldWalker/user-agent-utils,7
jenkinsci/remoting,7
dynjs/dynjs,7
olivergierke/spring-restbucks,7
six2six/fixture-factory,7
JavaMoney/jsr354-ri,7
jboss-remoting/jboss-marshalling,7
jsonld-java/jsonld-java,7
jenkinsci/ghprb-plugin,8
Findwise/Hydra,8
Netflix/astyanax,8
xetorthio/jedis,8
debop/hibernate-redis,8
oxo42/stateless4j,8
jenkinsci/github-oauth-plugin,8
onelogin/java-saml,8
demoiselle/behave,8
jiaqi/jmxterm,8
mapstruct/mapstruct,8
matyb/java-koans,8
Esri/geometry-api-java,8
twitter/hraven,8
zauberlabs/gnip4j,8
cribbstechnologies/Java-Mandrill-Wrapper,8
WhisperSystems/TextSecure-Server,8
jenkinsci/credentials-plugin,8
OrbitzWorldwide/consul-client,8
jenkinsci/envinject-plugin,8
SignalR/java-client,8
jenkinsci/mailer-plugin,8
scribejava/scribejava,8
Netflix/suro,9
scobal/seyren,9
jenkinsci/stashnotifier-plugin,9
eclipse-color-theme/eclipse-color-theme,9
facebook/swift,9
jenkinsci/parameterized-trigger-plugin,9
jenkinsci/build-pipeline-plugin,9
openmrs/openmrs-module-registrationapp,9
mongeez/mongeez,9
lviggiano/owner,9
klout/brickhouse,9
jenkinsci/tikal-multijob-plugin,9
facebook/nifty,9
t0xa/gelfj,9
jenkinsci/maven-plugin,9
jsevellec/cassandra-unit,9
webdetails/cpf,9
RichardWarburton/java-8-lambdas-exercises,9
vaadin/cdi,9
jenkinsci/junit-plugin,9
jenkinsci/jacoco-plugin,9
jenkinsci/parameterized-remote-trigger-plugin,9
jenkinsci/build-failure-analyzer-plugin,9
timols/java-gitlab-api,9
jenkinsci/mercurial-plugin,9
jenkinsci/docker-plugin,9
vmi/selenese-runner-java,10
DiUS/java-faker,10
rcongiu/Hive-JSON-Serde,10
fakemongo/fongo,10
4thline/cling,10
Nerdwin15/stash-jenkins-postreceive-webhook,10
craigwblake/redline,10
helun/Ektorp,10
zeromq/jeromq,10
libgdx/ashley,10
datastax/java-driver,11
douglascraigschmidt/POSA-14,11
pcantrell/comp225-registrar,11
agoncal/agoncal-application-petstore-ee7,11
aeshell/aesh,11
jenkinsci/slack-plugin,11
undertow-io/undertow,11
lenskit/lenskit,11
DigitalPebble/storm-crawler,11
dbfit/dbfit,11
